epoch,loss,mae,mse
0,1.2188915014266968,1.2188915014266968,3.6724584102630615
1,0.2685544788837433,0.2685544788837433,0.18062004446983337
2,0.11889325082302094,0.11889325082302094,0.0349770225584507
3,0.09530009329319,0.09530009329319,0.022203441709280014
4,0.0873391404747963,0.0873391404747963,0.018223926424980164
5,0.08100613951683044,0.08100613951683044,0.016181351616978645
6,0.07622534036636353,0.07622534036636353,0.014305366203188896
7,0.07276483625173569,0.07276483625173569,0.01317534875124693
8,0.06905665248632431,0.06905665248632431,0.012261861935257912
9,0.06515759974718094,0.06515759974718094,0.010596546344459057
10,0.06165686249732971,0.06165686249732971,0.00962368119508028
11,0.05880889669060707,0.05880889669060707,0.009082432836294174
12,0.05545596033334732,0.05545596033334732,0.008295809850096703
13,0.05261751264333725,0.05261751264333725,0.007559791207313538
14,0.05061773955821991,0.05061773955821991,0.007078302092850208
15,0.048781901597976685,0.048781901597976685,0.006488582119345665
16,0.04717938229441643,0.04717938229441643,0.006082069128751755
17,0.0447373241186142,0.0447373241186142,0.005600084085017443
18,0.04352421686053276,0.04352421686053276,0.005434741266071796
19,0.042279649525880814,0.042279649525880814,0.005129990633577108
20,0.04167057201266289,0.04167057201266289,0.005017380230128765
21,0.04102537781000137,0.04102537781000137,0.004682638216763735
22,0.04083796590566635,0.04083796590566635,0.0046348110772669315
23,0.040749792009592056,0.040749792009592056,0.004545174073427916
24,0.03998461365699768,0.03998461365699768,0.004341400694102049
25,0.03869028761982918,0.03869028761982918,0.0042746164835989475
26,0.039984460920095444,0.039984460920095444,0.004385118372738361
27,0.03938023000955582,0.03938023000955582,0.004200909752398729
28,0.039488039910793304,0.039488039910793304,0.004177454859018326
29,0.03892550617456436,0.03892550617456436,0.004196333698928356
30,0.03907619044184685,0.03907619044184685,0.004129668232053518
31,0.03902636468410492,0.03902636468410492,0.004136410541832447
32,0.038821034133434296,0.038821034133434296,0.0039819939993321896
33,0.03878459706902504,0.03878459706902504,0.004082336090505123
34,0.03893420845270157,0.03893420845270157,0.00417071208357811
35,0.03871757164597511,0.03871757164597511,0.003841382684186101
36,0.03860771656036377,0.03860771656036377,0.003978042863309383
37,0.03793702274560928,0.03793702274560928,0.003969540819525719
38,0.03852933272719383,0.03852933272719383,0.003902281168848276
39,0.03789355605840683,0.03789355605840683,0.003919370472431183
40,0.038602620363235474,0.038602620363235474,0.003976390231400728
41,0.037662774324417114,0.037662774324417114,0.0036118568386882544
42,0.03834816440939903,0.03834816440939903,0.003948553930968046
43,0.03791528940200806,0.03791528940200806,0.0038984022103250027
44,0.038253817707300186,0.038253817707300186,0.003951575141400099
45,0.038090795278549194,0.038090795278549194,0.0038615947123616934
46,0.037383466958999634,0.037383466958999634,0.00368759548291564
47,0.03782014548778534,0.03782014548778534,0.0038092369213700294
48,0.03762015327811241,0.03762015327811241,0.003789409762248397
49,0.03757072612643242,0.03757072612643242,0.0037841706071048975
50,0.03827635943889618,0.03827635943889618,0.0038431731518357992
51,0.037332575768232346,0.037332575768232346,0.003861459204927087
52,0.0371781624853611,0.0371781624853611,0.00375999603420496
53,0.03757647052407265,0.03757647052407265,0.003918778151273727
54,0.03771596774458885,0.03771596774458885,0.0038858598563820124
55,0.03708365932106972,0.03708365932106972,0.0037134934682399035
56,0.03682801499962807,0.03682801499962807,0.0037088182289153337
57,0.03690234571695328,0.03690234571695328,0.0036041142884641886
58,0.03728467971086502,0.03728467971086502,0.003726209746673703
59,0.037153929471969604,0.037153929471969604,0.003736518556252122
60,0.037244006991386414,0.037244006991386414,0.0037570481654256582
61,0.03715898096561432,0.03715898096561432,0.003642692929133773
62,0.03672993183135986,0.03672993183135986,0.0035727412905544043
63,0.036902446299791336,0.036902446299791336,0.0037265249993652105
64,0.03697754070162773,0.03697754070162773,0.003718183608725667
65,0.037014372646808624,0.037014372646808624,0.0036343384999781847
66,0.03685993328690529,0.03685993328690529,0.0036145865451544523
67,0.036596644669771194,0.036596644669771194,0.003639474045485258
68,0.03699439764022827,0.03699439764022827,0.0036174384877085686
69,0.03635412082076073,0.03635412082076073,0.0035842941142618656
70,0.037003785371780396,0.037003785371780396,0.0036962241865694523
71,0.03700539469718933,0.03700539469718933,0.003571176202967763
72,0.03700564429163933,0.03700564429163933,0.0036716782487928867
73,0.03641173616051674,0.03641173616051674,0.0035962099209427834
74,0.036741361021995544,0.036741361021995544,0.0035249057691544294
75,0.03655262291431427,0.03655262291431427,0.00363187026232481
76,0.036198120564222336,0.036198120564222336,0.0035970937460660934
77,0.03606811538338661,0.03606811538338661,0.003635960863903165
78,0.036731135100126266,0.036731135100126266,0.003711238969117403
79,0.03584395721554756,0.03584395721554756,0.0034914782736450434
80,0.03595392405986786,0.03595392405986786,0.0033976153936237097
81,0.036374952644109726,0.036374952644109726,0.0035080660600215197
82,0.036366336047649384,0.036366336047649384,0.0035731119569391012
83,0.03601617366075516,0.03601617366075516,0.0033369034063071012
84,0.036310434341430664,0.036310434341430664,0.003543692175298929
85,0.03644971176981926,0.03644971176981926,0.0035151084885001183
86,0.035709697753190994,0.035709697753190994,0.0034919679164886475
87,0.0357540100812912,0.0357540100812912,0.003383310278877616
88,0.03608173877000809,0.03608173877000809,0.00359807419590652
89,0.035884417593479156,0.035884417593479156,0.0033780464436858892
90,0.03545420989394188,0.03545420989394188,0.003420050023123622
91,0.03581129387021065,0.03581129387021065,0.00344292470254004
92,0.03577564284205437,0.03577564284205437,0.003460741601884365
93,0.03587336838245392,0.03587336838245392,0.003429089207202196
94,0.03639829158782959,0.03639829158782959,0.0035769110545516014
95,0.03562819957733154,0.03562819957733154,0.003421512898057699
96,0.03550857678055763,0.03550857678055763,0.0034129114355891943
97,0.035620804876089096,0.035620804876089096,0.0033942305017262697
98,0.035776518285274506,0.035776518285274506,0.0034229145385324955
99,0.035640399903059006,0.035640399903059006,0.003443608758971095
100,0.035609401762485504,0.035609401762485504,0.0035740919411182404
101,0.03545978665351868,0.03545978665351868,0.003435784252360463
102,0.0354560911655426,0.0354560911655426,0.003335716435685754
103,0.035598184913396835,0.035598184913396835,0.0034456471912562847
104,0.03521585464477539,0.03521585464477539,0.0033393215853720903
105,0.03508850187063217,0.03508850187063217,0.0032632392831146717
106,0.03500562533736229,0.03500562533736229,0.0034199035726487637
107,0.035848312079906464,0.035848312079906464,0.003568761283531785
108,0.03447020426392555,0.03447020426392555,0.003215857781469822
109,0.03505155071616173,0.03505155071616173,0.003319032257422805
110,0.03530223295092583,0.03530223295092583,0.003418654203414917
111,0.035100363194942474,0.035100363194942474,0.003259307472035289
112,0.0348316952586174,0.0348316952586174,0.003352340077981353
113,0.03491879627108574,0.03491879627108574,0.0033895610831677914
114,0.03519827499985695,0.03519827499985695,0.003457163693383336
115,0.03491917997598648,0.03491917997598648,0.0033245852682739496
116,0.035051342099905014,0.035051342099905014,0.0033218555618077517
117,0.03554637357592583,0.03554637357592583,0.0032830946147441864
118,0.034967973828315735,0.034967973828315735,0.0033980035223066807
119,0.03519762307405472,0.03519762307405472,0.003369968617334962
120,0.034838877618312836,0.034838877618312836,0.003284021047875285
121,0.03515208885073662,0.03515208885073662,0.003299791133031249
122,0.03484373539686203,0.03484373539686203,0.003311652923002839
123,0.03476439043879509,0.03476439043879509,0.003275214694440365
124,0.03464126959443092,0.03464126959443092,0.003355316584929824
125,0.034826286137104034,0.034826286137104034,0.003392469836398959
126,0.03525829315185547,0.03525829315185547,0.003372404258698225
127,0.03440845385193825,0.03440845385193825,0.0032744714990258217
128,0.03448622301220894,0.03448622301220894,0.0033137572463601828
129,0.034675780683755875,0.034675780683755875,0.0031770318746566772
130,0.03455466404557228,0.03455466404557228,0.003198082558810711
131,0.034419313073158264,0.034419313073158264,0.003426510142162442
132,0.03480428084731102,0.03480428084731102,0.0033291743602603674
133,0.0344693548977375,0.0344693548977375,0.0032464307732880116
134,0.03438912704586983,0.03438912704586983,0.0033263827208429575
135,0.03442174568772316,0.03442174568772316,0.0033438189420849085
136,0.034512847661972046,0.034512847661972046,0.003327010665088892
137,0.03473504260182381,0.03473504260182381,0.003368573496118188
138,0.03473780304193497,0.03473780304193497,0.0032793579157441854
139,0.034135445952415466,0.034135445952415466,0.003256954485550523
140,0.03403330594301224,0.03403330594301224,0.003169865347445011
141,0.0342436246573925,0.0342436246573925,0.0033663969952613115
142,0.034700166434049606,0.034700166434049606,0.0033577161375433207
143,0.03425117954611778,0.03425117954611778,0.003273708513006568
144,0.0343143530189991,0.0343143530189991,0.0031300894916057587
145,0.03475750610232353,0.03475750610232353,0.0032727266661822796
146,0.03465099260210991,0.03465099260210991,0.0033086370676755905
147,0.03445185348391533,0.03445185348391533,0.003184088971465826
148,0.03440529480576515,0.03440529480576515,0.003237747121602297
149,0.03376035764813423,0.03376035764813423,0.0030954943504184484
150,0.03412601724267006,0.03412601724267006,0.003239947371184826
151,0.034477442502975464,0.034477442502975464,0.003358215093612671
152,0.0343642421066761,0.0343642421066761,0.0033267035614699125
153,0.03440936654806137,0.03440936654806137,0.003256714204326272
154,0.034085713326931,0.034085713326931,0.0031930988188833
155,0.033607665449380875,0.033607665449380875,0.0031155862379819155
156,0.03391766920685768,0.03391766920685768,0.003259815275669098
157,0.03372526913881302,0.03372526913881302,0.0032940476667135954
158,0.03382377326488495,0.03382377326488495,0.0031626319978386164
159,0.03443552926182747,0.03443552926182747,0.0032608944457024336
160,0.033999644219875336,0.033999644219875336,0.0031895015854388475
161,0.034128185361623764,0.034128185361623764,0.0032807965762913227
162,0.0334259532392025,0.0334259532392025,0.003140363609418273
163,0.033405497670173645,0.033405497670173645,0.0031636804342269897
164,0.033831637352705,0.033831637352705,0.0031783359590917826
165,0.03393074497580528,0.03393074497580528,0.0031675954815000296
166,0.033612437546253204,0.033612437546253204,0.0031576489564031363
167,0.03433633968234062,0.03433633968234062,0.003259683959186077
168,0.03381020948290825,0.03381020948290825,0.0031333966180682182
169,0.03405219316482544,0.03405219316482544,0.0032229905482381582
170,0.034403689205646515,0.034403689205646515,0.0032794568687677383
171,0.0334809236228466,0.0334809236228466,0.0032361808698624372
172,0.03369135037064552,0.03369135037064552,0.003097121836617589
173,0.03382500261068344,0.03382500261068344,0.003072356106713414
174,0.034044381231069565,0.034044381231069565,0.003285297891125083
175,0.033913180232048035,0.033913180232048035,0.0032357098534703255
176,0.03295145556330681,0.03295145556330681,0.003169939387589693
177,0.033969566226005554,0.033969566226005554,0.0032013196032494307
178,0.03419658914208412,0.03419658914208412,0.003263892373070121
179,0.033903349190950394,0.033903349190950394,0.0032023501116782427
180,0.033791281282901764,0.033791281282901764,0.0031585802789777517
181,0.033136457204818726,0.033136457204818726,0.003125215647742152
182,0.03358854353427887,0.03358854353427887,0.0031183704268187284
183,0.033635593950748444,0.033635593950748444,0.0031903614290058613
184,0.033314138650894165,0.033314138650894165,0.0031887029763311148
185,0.03356469050049782,0.03356469050049782,0.0031350525096058846
186,0.03386617451906204,0.03386617451906204,0.003119596978649497
187,0.03342808783054352,0.03342808783054352,0.0031441631726920605
188,0.03408551961183548,0.03408551961183548,0.00325018260627985
189,0.033575497567653656,0.033575497567653656,0.003205197863280773
190,0.033587392419576645,0.033587392419576645,0.003072701394557953
191,0.033890314400196075,0.033890314400196075,0.0032475008629262447
192,0.03389321267604828,0.03389321267604828,0.003180290572345257
193,0.033302657306194305,0.033302657306194305,0.003152396297082305
194,0.033515721559524536,0.033515721559524536,0.003229742869734764
195,0.03359631448984146,0.03359631448984146,0.003210347844287753
196,0.03371535986661911,0.03371535986661911,0.0032530396711081266
197,0.033167917281389236,0.033167917281389236,0.0031698273960500956
198,0.033820271492004395,0.033820271492004395,0.0031664352864027023
199,0.03355551138520241,0.03355551138520241,0.003085519652813673
200,0.033143334090709686,0.033143334090709686,0.0031958073377609253
201,0.033558089286088943,0.033558089286088943,0.0031670357566326857
202,0.033615436404943466,0.033615436404943466,0.0031823287717998028
203,0.033328600227832794,0.033328600227832794,0.0031666613649576902
204,0.03339092805981636,0.03339092805981636,0.0030865175649523735
205,0.03327515348792076,0.03327515348792076,0.0030023357830941677
206,0.03317549452185631,0.03317549452185631,0.003198440885171294
207,0.032928116619586945,0.032928116619586945,0.0030508129857480526
208,0.03367316350340843,0.03367316350340843,0.0031256943475455046
209,0.03343456983566284,0.03343456983566284,0.0031757927499711514
210,0.03337087109684944,0.03337087109684944,0.0032187686301767826
211,0.03320295736193657,0.03320295736193657,0.0031232566107064486
212,0.033414993435144424,0.033414993435144424,0.0031112697906792164
213,0.03333080932497978,0.03333080932497978,0.003110151505097747
214,0.033053889870643616,0.033053889870643616,0.003148718737065792
215,0.03291149064898491,0.03291149064898491,0.0031304217409342527
216,0.03320705518126488,0.03320705518126488,0.003031174885109067
217,0.032516852021217346,0.032516852021217346,0.0029857640620321035
218,0.03294351324439049,0.03294351324439049,0.0030864919535815716
219,0.03242192044854164,0.03242192044854164,0.0030177233275026083
220,0.03267175331711769,0.03267175331711769,0.003040733514353633
221,0.03305956721305847,0.03305956721305847,0.0031812265515327454
222,0.032999083399772644,0.032999083399772644,0.0030761456582695246
223,0.03335552290081978,0.03335552290081978,0.0030756029300391674
224,0.03330913186073303,0.03330913186073303,0.003161144442856312
225,0.03306869789958,0.03306869789958,0.003142373403534293
226,0.03315882384777069,0.03315882384777069,0.0030745340045541525
227,0.03299104422330856,0.03299104422330856,0.0030176544096320868
228,0.03331905975937843,0.03331905975937843,0.00305243581533432
229,0.03246339038014412,0.03246339038014412,0.0030585324857383966
230,0.03339199721813202,0.03339199721813202,0.0031258994713425636
231,0.032995495945215225,0.032995495945215225,0.0031643800903111696
232,0.03294201195240021,0.03294201195240021,0.0030538353603333235
233,0.03310133516788483,0.03310133516788483,0.0031178526114672422
234,0.03304428607225418,0.03304428607225418,0.003054860746487975
235,0.03305010125041008,0.03305010125041008,0.0031055782455950975
236,0.03290523216128349,0.03290523216128349,0.003138681873679161
237,0.03338073194026947,0.03338073194026947,0.0030893266666680574
238,0.03303123265504837,0.03303123265504837,0.0030419467948377132
239,0.032739702612161636,0.032739702612161636,0.003151293843984604
240,0.032763347029685974,0.032763347029685974,0.00310368905775249
241,0.032865677028894424,0.032865677028894424,0.0031346033792942762
242,0.032961878925561905,0.032961878925561905,0.0031869637314230204
243,0.03298623114824295,0.03298623114824295,0.0031786297913640738
244,0.03238930553197861,0.03238930553197861,0.003043555887416005
245,0.03312568739056587,0.03312568739056587,0.0030454054940491915
246,0.03331172838807106,0.03331172838807106,0.003230901202186942
247,0.033056605607271194,0.033056605607271194,0.0030546870548278093
248,0.032835472375154495,0.032835472375154495,0.003167068352922797
249,0.033228471875190735,0.033228471875190735,0.0030910877976566553
250,0.03289410099387169,0.03289410099387169,0.0030183095950633287
251,0.03282923251390457,0.03282923251390457,0.003163017798215151
252,0.032950304448604584,0.032950304448604584,0.0031982604414224625
253,0.032826732844114304,0.032826732844114304,0.0030759074725210667
254,0.033008333295583725,0.033008333295583725,0.0031734297517687082
255,0.03291631117463112,0.03291631117463112,0.003082022536545992
256,0.032677117735147476,0.032677117735147476,0.003127061063423753
257,0.03302377834916115,0.03302377834916115,0.0031661696266382933
258,0.03297148644924164,0.03297148644924164,0.0030201845802366734
259,0.03257562592625618,0.03257562592625618,0.002996263327077031
260,0.03310264274477959,0.03310264274477959,0.003204724984243512
261,0.032840024679899216,0.032840024679899216,0.0031989433337002993
262,0.03228835016489029,0.03228835016489029,0.003131417091935873
263,0.03312156721949577,0.03312156721949577,0.0032228052150458097
264,0.03261575847864151,0.03261575847864151,0.003039770992472768
265,0.032690249383449554,0.032690249383449554,0.0031542235519737005
266,0.03261347860097885,0.03261347860097885,0.003093213541433215
267,0.03277827799320221,0.03277827799320221,0.002988072345033288
268,0.03255638852715492,0.03255638852715492,0.003026219317689538
269,0.033102985471487045,0.033102985471487045,0.003200015751644969
270,0.03270313888788223,0.03270313888788223,0.003063506679609418
