epoch,accuracy,loss,mae,mape,mse
0,0.0,2.6412341594696045,3.132885456085205,73.6247787475586,13.447176933288574
1,0.0,1.4360395669937134,1.8419108390808105,37.19206237792969,6.329555034637451
2,0.0,1.1325784921646118,1.5452390909194946,34.914093017578125,4.324639797210693
3,0.0,1.096064805984497,1.5229108333587646,37.06013870239258,3.8943428993225098
4,0.0,1.0912024974822998,1.518269658088684,38.45269775390625,3.7263131141662598
5,0.0,1.090559720993042,1.516751766204834,38.69605255126953,3.69712233543396
6,0.0,1.0902128219604492,1.5162919759750366,38.879844665527344,3.6772494316101074
7,0.0,1.0901947021484375,1.5161312818527222,38.7866096496582,3.6855053901672363
8,0.0,1.090155005455017,1.5162297487258911,38.873565673828125,3.6775317192077637
9,0.0,1.0901908874511719,1.5159580707550049,38.96194076538086,3.66793155670166
10,0.0,1.090168833732605,1.5158439874649048,38.987037658691406,3.6665258407592773
11,0.0,1.090201735496521,1.5158321857452393,39.0394172668457,3.660989761352539
12,0.0,1.0901962518692017,1.515677809715271,39.079063415527344,3.6569747924804688
13,0.0,1.0901238918304443,1.5156495571136475,39.09770965576172,3.6545510292053223
14,0.0,1.0901693105697632,1.5162279605865479,38.869102478027344,3.6774020195007324
15,0.0,1.0901991128921509,1.5158835649490356,39.012760162353516,3.6631879806518555
16,0.0,1.0901999473571777,1.515764594078064,39.06474304199219,3.6583242416381836
17,0.0,1.0901570320129395,1.5153535604476929,39.12552261352539,3.651425838470459
18,0.0,1.0900620222091675,1.5160176753997803,38.90642166137695,3.6729352474212646
19,0.0,1.09017014503479,1.5155991315841675,39.03547668457031,3.66086483001709
20,0.0,1.0901272296905518,1.5157350301742554,38.922760009765625,3.6717965602874756
21,0.0,1.0900546312332153,1.5149003267288208,39.27180862426758,3.6365561485290527
22,0.0,1.0902925729751587,1.516200065612793,38.94856262207031,3.670851469039917
23,0.0,1.0900307893753052,1.5162107944488525,38.71630859375,3.6909592151641846
24,0.0,1.090159296989441,1.5158116817474365,39.084468841552734,3.655844211578369
25,0.0,1.0898936986923218,1.5148192644119263,39.265174865722656,3.6361095905303955
26,0.0,1.090123176574707,1.5162698030471802,38.839447021484375,3.680880308151245
27,0.0,1.0901687145233154,1.5157090425491333,39.01383590698242,3.6627564430236816
28,0.0,1.0901806354522705,1.515926480293274,38.997989654541016,3.6648664474487305
29,0.0,1.0901715755462646,1.5159618854522705,38.914337158203125,3.6726937294006348
30,0.0,1.0900893211364746,1.5159912109375,38.86322021484375,3.6777758598327637
31,0.0,1.090164065361023,1.5155913829803467,39.11210250854492,3.6533076763153076
32,0.0,1.0901588201522827,1.515509843826294,39.11315155029297,3.653470993041992
33,0.0,1.0901795625686646,1.5157201290130615,39.03997039794922,3.660710573196411
34,0.0,1.0901427268981934,1.516115665435791,38.91898727416992,3.6720964908599854
35,0.0,1.0901970863342285,1.5161535739898682,38.946353912353516,3.6702826023101807
36,0.0,1.0900779962539673,1.5153136253356934,39.26271057128906,3.6386232376098633
37,0.0,1.0901434421539307,1.5159801244735718,38.96244812011719,3.6682910919189453
38,0.0,1.09014892578125,1.515456199645996,39.10040283203125,3.654487371444702
39,0.0,1.0901683568954468,1.5159201622009277,38.98529052734375,3.666038751602173
40,0.0,1.09018874168396,1.5162358283996582,38.869728088378906,3.6776952743530273
41,0.0,1.0901387929916382,1.5159472227096558,38.96784591674805,3.6676745414733887
42,0.0,1.0900905132293701,1.515009880065918,39.19236755371094,3.64424467086792
43,0.0,1.090203046798706,1.515987753868103,39.04133224487305,3.660895586013794
44,0.0,1.0901492834091187,1.5161086320877075,38.87913513183594,3.6764535903930664
45,0.0,1.0902122259140015,1.5157973766326904,39.04594802856445,3.6602847576141357
46,0.0,1.0901920795440674,1.5158320665359497,39.009246826171875,3.6644625663757324
47,0.0,1.0901600122451782,1.5159776210784912,38.993438720703125,3.664599657058716
48,0.0,1.090212106704712,1.5159157514572144,38.98919677734375,3.6660990715026855
49,0.0,1.0901923179626465,1.515630841255188,39.119449615478516,3.6528525352478027
50,0.0,1.0901641845703125,1.516181468963623,38.888916015625,3.6756341457366943
51,0.0,1.0901403427124023,1.515720009803772,39.02935791015625,3.6610231399536133
52,0.0,1.0902092456817627,1.5158950090408325,39.0124397277832,3.664008855819702
53,0.0,1.090218424797058,1.5158426761627197,39.07512283325195,3.6573681831359863
54,0.0,1.0901042222976685,1.5159920454025269,38.89154052734375,3.674370288848877
55,0.0,1.0902130603790283,1.515735387802124,39.01172637939453,3.663128614425659
56,0.0,1.0901293754577637,1.5154244899749756,39.074073791503906,3.655834197998047
57,0.0,1.09010648727417,1.515163779258728,39.161827087402344,3.647409200668335
58,0.0,1.0902765989303589,1.516365885734558,38.84674835205078,3.6812551021575928
59,0.0,1.090147614479065,1.5160490274429321,38.924598693847656,3.6723897457122803
60,0.0,1.0901236534118652,1.5153532028198242,39.16157531738281,3.647951126098633
61,0.0,1.0901540517807007,1.515925645828247,38.944419860839844,3.669796943664551
62,0.0,1.0901294946670532,1.5156110525131226,39.063262939453125,3.6576642990112305
63,0.0,1.0902225971221924,1.5158920288085938,38.99214553833008,3.665957450866699
64,0.0,1.0900864601135254,1.5155079364776611,39.144248962402344,3.649803638458252
65,0.0,1.0901356935501099,1.5162101984024048,38.85310363769531,3.678959846496582
66,0.0,1.0901176929473877,1.5152469873428345,39.127540588378906,3.651150941848755
67,0.0,1.0901517868041992,1.5160815715789795,38.87479019165039,3.676863431930542
68,0.0,1.0901455879211426,1.515669584274292,39.06562042236328,3.658052921295166
69,0.0,1.0900336503982544,1.516312599182129,38.803401947021484,3.6838629245758057
70,0.0,1.0902153253555298,1.5159339904785156,39.06372833251953,3.6589555740356445
71,0.0,1.0901578664779663,1.5157862901687622,39.06644058227539,3.657572031021118
72,0.0,1.0901907682418823,1.5157476663589478,38.996341705322266,3.6648194789886475
73,0.0,1.0902704000473022,1.5158109664916992,39.059017181396484,3.6592800617218018
74,0.0,1.0901247262954712,1.5162761211395264,38.87376022338867,3.6776113510131836
75,0.0,1.0901530981063843,1.5152181386947632,39.26932144165039,3.637758255004883
76,0.0,1.0901888608932495,1.5161466598510742,38.91521453857422,3.6740033626556396
77,0.0,1.090134859085083,1.5158007144927979,39.0446891784668,3.66037654876709
78,0.0,1.0902031660079956,1.516032099723816,38.928279876708984,3.671875238418579
79,0.0,1.0901869535446167,1.5154852867126465,39.128204345703125,3.6516551971435547
80,0.0,1.0901424884796143,1.5160927772521973,38.920310974121094,3.672313928604126
81,0.0,1.0902297496795654,1.5157110691070557,39.012428283691406,3.663388967514038
82,0.0,1.090059757232666,1.5155407190322876,39.10953140258789,3.6532084941864014
83,0.0,1.090172290802002,1.5161473751068115,38.8458251953125,3.6799588203430176
84,0.0,1.0901870727539062,1.515643835067749,39.0875358581543,3.6560611724853516
85,0.0,1.0901464223861694,1.515403389930725,39.111183166503906,3.6523215770721436
86,0.0,1.0901360511779785,1.5156127214431763,39.030487060546875,3.6605610847473145
87,0.0,1.0901387929916382,1.5154688358306885,39.105716705322266,3.653442144393921
88,0.0,1.0902408361434937,1.5160636901855469,38.958255767822266,3.668694496154785
89,0.0,1.090099811553955,1.5164724588394165,38.720184326171875,3.6919171810150146
90,0.0,1.0901200771331787,1.5156400203704834,39.01176071166992,3.6628310680389404
91,0.0,1.089773416519165,1.5146411657333374,39.38243865966797,3.624871253967285
92,0.0,1.0902889966964722,1.5164464712142944,38.85136413574219,3.680295944213867
93,0.0,1.0902070999145508,1.515730857849121,39.02666473388672,3.661501169204712
94,0.0,1.0901200771331787,1.516184687614441,38.832183837890625,3.6808109283447266
95,0.0,1.0901745557785034,1.5157959461212158,39.04133224487305,3.6607375144958496
96,0.0,1.0901306867599487,1.515767216682434,39.06455612182617,3.657243490219116
97,0.0,1.0899769067764282,1.5159984827041626,38.81962966918945,3.68157958984375
98,0.0,1.0901676416397095,1.515522837638855,39.11205291748047,3.652711868286133
99,0.0,1.0901994705200195,1.5157394409179688,39.017372131347656,3.662607431411743
100,0.0,1.0901880264282227,1.5156737565994263,39.07147216796875,3.657471179962158
101,0.0,1.0901318788528442,1.5160629749298096,38.96576690673828,3.6678364276885986
102,0.0,1.0901445150375366,1.5159841775894165,38.93989944458008,3.670233726501465
103,0.0,1.0901224613189697,1.5156145095825195,39.070125579833984,3.6571555137634277
104,0.0,1.0902066230773926,1.516190767288208,38.8756103515625,3.6774725914001465
105,0.0,1.0901795625686646,1.5155693292617798,39.052520751953125,3.6589202880859375
106,0.0,1.0901528596878052,1.5154412984848022,39.09840774536133,3.6543805599212646
107,0.0,1.0901756286621094,1.515938401222229,38.96085739135742,3.6686367988586426
108,0.0,1.090049386024475,1.5150949954986572,39.21232223510742,3.6421070098876953
109,0.0,1.0901771783828735,1.515951156616211,38.9725456237793,3.6675069332122803
110,0.0,1.0901936292648315,1.515981912612915,38.96969985961914,3.6675796508789062
