epoch,accuracy,loss,mae,mape,mse
0,0.0,0.5058071613311768,0.5058071613311768,13.016053199768066,0.9826378226280212
1,0.0,0.10408349335193634,0.10408349335193634,2.8643887042999268,0.020003851503133774
2,0.0,0.08209216594696045,0.08209216594696045,2.2047812938690186,0.01293883752077818
3,0.0,0.06860175728797913,0.06860175728797913,1.8154829740524292,0.009563466534018517
4,0.0,0.06303249299526215,0.06303249299526215,1.672458291053772,0.00806356966495514
5,0.0,0.05885941535234451,0.05885941535234451,1.5600945949554443,0.006963624618947506
6,0.0,0.05534879118204117,0.05534879118204117,1.4528917074203491,0.0064147706143558025
7,0.0,0.052642762660980225,0.052642762660980225,1.3915902376174927,0.005947371479123831
8,0.0,0.049621954560279846,0.049621954560279846,1.3002190589904785,0.005354737397283316
9,0.0,0.047791413962841034,0.047791413962841034,1.2586191892623901,0.004973434377461672
10,0.0,0.04657898470759392,0.04657898470759392,1.2051379680633545,0.004892752040177584
11,0.0,0.04635833948850632,0.04635833948850632,1.2045950889587402,0.004764007404446602
12,0.0,0.04536930099129677,0.04536930099129677,1.1787320375442505,0.004481482319533825
13,0.0,0.04474558308720589,0.04474558308720589,1.1687147617340088,0.004483857657760382
14,0.0,0.043812740594148636,0.043812740594148636,1.1391029357910156,0.004360933322459459
15,0.0,0.043039657175540924,0.043039657175540924,1.1058562994003296,0.004239295143634081
16,0.0,0.04572312906384468,0.04572312906384468,1.1926201581954956,0.004644630942493677
17,0.0,0.04469485580921173,0.04469485580921173,1.149023175239563,0.004409139510244131
18,0.0,0.041991226375103,0.041991226375103,1.0761967897415161,0.004034999292343855
19,0.0,0.04115501791238785,0.04115501791238785,1.0548622608184814,0.003984641283750534
20,0.0,0.040537118911743164,0.040537118911743164,1.0346020460128784,0.004018241539597511
21,0.0,0.04136507958173752,0.04136507958173752,1.0510518550872803,0.004013487603515387
22,0.0,0.04321075603365898,0.04321075603365898,1.124145746231079,0.004210731014609337
23,0.0,0.04336506500840187,0.04336506500840187,1.1190015077590942,0.00411393865942955
24,0.0,0.04140615463256836,0.04140615463256836,1.0629881620407104,0.003911345731467009
25,0.0,0.042621295899152756,0.042621295899152756,1.0882680416107178,0.004278548061847687
