epoch,loss,mae,mse
0,0.8334875106811523,1.1792957782745361,3.25738787651062
1,0.0609528087079525,0.2296627014875412,0.1252080202102661
2,0.013471388258039951,0.11051709204912186,0.02694329060614109
3,0.010273228399455547,0.09622576087713242,0.02054659090936184
4,0.008488332852721214,0.0874796062707901,0.01697668619453907
5,0.007582719903439283,0.08204769343137741,0.015165448188781738
6,0.0066686817444860935,0.07617925107479095,0.013337363488972187
7,0.006032535806298256,0.0728660449385643,0.012065071612596512
8,0.005474397446960211,0.06852532178163528,0.010948794893920422
9,0.004960617516189814,0.06514216214418411,0.009921235032379627
10,0.004537185188382864,0.06101284176111221,0.009074370376765728
11,0.00413517514243722,0.058173906058073044,0.00827035028487444
12,0.003832425456494093,0.056118205189704895,0.007664850912988186
13,0.0034637758508324623,0.05325174704194069,0.006927551701664925
14,0.0032117830123752356,0.0508408285677433,0.006423566024750471
15,0.0030435160733759403,0.04937322437763214,0.006087032146751881
16,0.0028408446814864874,0.047053348273038864,0.005681689362972975
17,0.0027147831860929728,0.04564513638615608,0.0054295663721859455
18,0.0025169122964143753,0.04431834816932678,0.005033824592828751
19,0.0024565039202570915,0.04400698095560074,0.004913007840514183
20,0.0024215492885559797,0.04294786974787712,0.0048430985771119595
21,0.0022970347199589014,0.0415198877453804,0.004594069439917803
22,0.0022468948736786842,0.04140947759151459,0.0044937897473573685
23,0.0021568406373262405,0.04097355529665947,0.004313681274652481
24,0.002155703492462635,0.04039407894015312,0.00431140698492527
25,0.002153481589630246,0.04007848724722862,0.004306963179260492
26,0.0020693240221589804,0.039657313376665115,0.004138648044317961
27,0.0020458195358514786,0.03954454883933067,0.004091639071702957
28,0.0020391044672578573,0.03920800983905792,0.004078208934515715
29,0.0020125394221395254,0.03927221521735191,0.004025078844279051
30,0.0019995379261672497,0.03985549882054329,0.003999075852334499
31,0.0020108704920858145,0.03952551260590553,0.004021740984171629
32,0.0020318329334259033,0.039198778569698334,0.004063665866851807
33,0.002037666505202651,0.039531510323286057,0.004075333010405302
34,0.001944257179275155,0.03887951001524925,0.00388851435855031
35,0.001952895661816001,0.038824908435344696,0.003905791323632002
36,0.001929853344336152,0.038489021360874176,0.003859706688672304
37,0.0020205562468618155,0.03903818875551224,0.004041112493723631
38,0.001971067162230611,0.038803793489933014,0.003942134324461222
39,0.0019403668120503426,0.038590315729379654,0.003880733624100685
40,0.0019551096484065056,0.03856940194964409,0.003910219296813011
41,0.0019516246393322945,0.03872152417898178,0.003903249278664589
42,0.0019464553333818913,0.0386316180229187,0.0038929106667637825
43,0.0019405401544645429,0.038491129875183105,0.0038810803089290857
44,0.0019101660000160336,0.03848491236567497,0.0038203320000320673
45,0.0019079623743891716,0.038019467145204544,0.003815924748778343
46,0.001881542382761836,0.03777704015374184,0.003763084765523672
47,0.0018662958173081279,0.03795637935400009,0.0037325916346162558
48,0.0019263466820120811,0.038401491940021515,0.0038526933640241623
