epoch,loss,mae,mse
0,6.211131572723389,1.8694374561309814,6.211131572723389
1,0.6015661358833313,0.48755520582199097,0.6015661358833313
2,0.11371144652366638,0.2035101056098938,0.11371144652366638
3,0.03387879580259323,0.11767232418060303,0.03387879580259323
4,0.02425561286509037,0.10124949365854263,0.02425561286509037
5,0.020299309864640236,0.09213083982467651,0.020299309864640236
6,0.018040448427200317,0.0876694843173027,0.018040448427200317
7,0.015573346056044102,0.08184879273176193,0.015573346056044102
8,0.014450360089540482,0.07759100198745728,0.014450360089540482
9,0.013155086897313595,0.0730050802230835,0.013155086897313595
10,0.012095783837139606,0.06939709931612015,0.012095783837139606
11,0.011047784239053726,0.0664617046713829,0.011047784239053726
12,0.010392515920102596,0.0639449954032898,0.010392515920102596
13,0.009790279902517796,0.061056867241859436,0.009790279902517796
14,0.00914999283850193,0.05823783576488495,0.00914999283850193
15,0.008505291305482388,0.055885445326566696,0.008505291305482388
16,0.008078491315245628,0.05439000949263573,0.008078491315245628
17,0.007670829072594643,0.0518680140376091,0.007670829072594643
18,0.007382956333458424,0.05033835768699646,0.007382956333458424
19,0.006984066683799028,0.04804966598749161,0.006984066683799028
20,0.006498453672975302,0.0470394492149353,0.006498453672975302
21,0.0063526020385324955,0.04670792073011398,0.0063526020385324955
22,0.006085709668695927,0.04554533585906029,0.006085709668695927
23,0.005880429409444332,0.04457345977425575,0.005880429409444332
24,0.005623888690024614,0.04415549337863922,0.005623888690024614
25,0.005593753885477781,0.0440937839448452,0.005593753885477781
26,0.0054312776774168015,0.04271279275417328,0.0054312776774168015
27,0.0052236951887607574,0.04298963025212288,0.0052236951887607574
28,0.0051997206173837185,0.042402900755405426,0.0051997206173837185
29,0.00505566643550992,0.04208165407180786,0.00505566643550992
30,0.004938177298754454,0.04174816608428955,0.004938177298754454
31,0.004870470147579908,0.04189807549118996,0.004870470147579908
32,0.00476885074749589,0.04074040800333023,0.00476885074749589
33,0.004656028933823109,0.0409877747297287,0.004656028933823109
34,0.004599524196237326,0.04026785492897034,0.004599524196237326
35,0.0045610698871314526,0.040540553629398346,0.0045610698871314526
36,0.0045644361525774,0.04124278947710991,0.0045644361525774
37,0.004476128611713648,0.040358658879995346,0.004476128611713648
38,0.004460101015865803,0.040490198880434036,0.004460101015865803
39,0.004452557768672705,0.04031136631965637,0.004452557768672705
40,0.0043097324669361115,0.03968019410967827,0.0043097324669361115
41,0.004426047671586275,0.0394861213862896,0.004426047671586275
42,0.004270732868462801,0.03884151205420494,0.004270732868462801
43,0.004230359103530645,0.03937844932079315,0.004230359103530645
44,0.004259316250681877,0.039411671459674835,0.004259316250681877
45,0.00417846767231822,0.03896820917725563,0.00417846767231822
46,0.004171145614236593,0.03868897631764412,0.004171145614236593
47,0.004089789465069771,0.03890931233763695,0.004089789465069771
48,0.004013632889837027,0.03877437487244606,0.004013632889837027
49,0.004081936553120613,0.03865418955683708,0.004081936553120613
50,0.004088321700692177,0.038633812218904495,0.004088321700692177
51,0.0040770177729427814,0.03848257288336754,0.0040770177729427814
52,0.003864450380206108,0.03820323944091797,0.003864450380206108
53,0.004086492117494345,0.039040494710206985,0.004086492117494345
54,0.00402457918971777,0.038490716367959976,0.00402457918971777
55,0.003912037238478661,0.03839936479926109,0.003912037238478661
56,0.003936575725674629,0.038327671587467194,0.003936575725674629
57,0.003932432271540165,0.03823525831103325,0.003932432271540165
58,0.0039015007205307484,0.03791270777583122,0.0039015007205307484
59,0.00390660623088479,0.03823774307966232,0.00390660623088479
60,0.0038113256450742483,0.038117725402116776,0.0038113256450742483
61,0.0038909355644136667,0.03768544644117355,0.0038909355644136667
62,0.004008833318948746,0.038119491189718246,0.004008833318948746
63,0.003932129591703415,0.037958741188049316,0.003932129591703415
64,0.0038414637092500925,0.03792271390557289,0.0038414637092500925
65,0.0037606849800795317,0.03781021758913994,0.0037606849800795317
66,0.0038716280832886696,0.03761211037635803,0.0038716280832886696
67,0.0038322401233017445,0.03735268861055374,0.0038322401233017445
68,0.0037878870498389006,0.037295058369636536,0.0037878870498389006
69,0.0038158423267304897,0.03772664815187454,0.0038158423267304897
70,0.003833443159237504,0.03746573626995087,0.003833443159237504
71,0.0037155556492507458,0.03712756559252739,0.0037155556492507458
72,0.0037309566978365183,0.03679332882165909,0.0037309566978365183
73,0.003723827889189124,0.03738746419548988,0.003723827889189124
74,0.0037347523029893637,0.03685076907277107,0.0037347523029893637
75,0.0037155013997107744,0.0367891751229763,0.0037155013997107744
76,0.0037155745085328817,0.03700248897075653,0.0037155745085328817
77,0.003667627228423953,0.03639179840683937,0.003667627228423953
78,0.0036902441643178463,0.037096329033374786,0.0036902441643178463
79,0.00370245473459363,0.03672955930233002,0.00370245473459363
80,0.0036210091784596443,0.03674659505486488,0.0036210091784596443
81,0.003641905263066292,0.036556221544742584,0.003641905263066292
82,0.003671076614409685,0.037339240312576294,0.003671076614409685
83,0.0036894548684358597,0.036557961255311966,0.0036894548684358597
84,0.0036921182181686163,0.03675703704357147,0.0036921182181686163
85,0.0035762309562414885,0.03633802756667137,0.0035762309562414885
86,0.0036436424124985933,0.03678290545940399,0.0036436424124985933
87,0.0036252953577786684,0.03649366647005081,0.0036252953577786684
88,0.0036049799527972937,0.03644077852368355,0.0036049799527972937
89,0.0035815222654491663,0.03597976267337799,0.0035815222654491663
90,0.0036799402441829443,0.036331504583358765,0.0036799402441829443
91,0.003492186311632395,0.035813190042972565,0.003492186311632395
92,0.0034947639796882868,0.0356457345187664,0.0034947639796882868
93,0.003462716704234481,0.03600103408098221,0.003462716704234481
94,0.0035794489085674286,0.036049213260412216,0.0035794489085674286
95,0.0035976620856672525,0.036095619201660156,0.0035976620856672525
96,0.003531841794028878,0.03571026027202606,0.003531841794028878
97,0.0036351620219647884,0.03538186848163605,0.0036351620219647884
98,0.0036183141637593508,0.03593789041042328,0.0036183141637593508
99,0.0035048825666308403,0.03616330772638321,0.0035048825666308403
100,0.0036157940048724413,0.03614996001124382,0.0036157940048724413
101,0.003520365571603179,0.035793401300907135,0.003520365571603179
102,0.0034956990275532007,0.0359235480427742,0.0034956990275532007
103,0.0035148884635418653,0.035223834216594696,0.0035148884635418653
