epoch,accuracy,loss,mae,mape,mse
0,0.0,0.0015635329764336348,0.033238425850868225,1.0351299047470093,0.0031270659528672695
1,0.0,0.0013457939494401217,0.030306793749332428,0.867422342300415,0.0026915878988802433
2,0.0,0.0013277927646413445,0.030218230560421944,0.8717965483665466,0.002655585529282689
3,0.0,0.001346884062513709,0.029468826949596405,0.8455519080162048,0.002693768125027418
4,0.0,0.001338861184194684,0.030019152909517288,0.8654943704605103,0.002677722368389368
5,0.0,0.001278104493394494,0.029398975893855095,0.8359637260437012,0.002556208986788988
6,0.0,0.0013248581672087312,0.030015775933861732,0.8597355484962463,0.0026497163344174623
7,0.0,0.001300851465202868,0.02955801784992218,0.8488278388977051,0.002601702930405736
8,0.0,0.0012783337151631713,0.029668159782886505,0.8520862460136414,0.0025566674303263426
9,0.0,0.0013104125391691923,0.029222242534160614,0.8346286416053772,0.0026208250783383846
10,0.0,0.001275001559406519,0.029569227248430252,0.8458737134933472,0.002550003118813038
11,0.0,0.0013088065898045897,0.029373258352279663,0.8366865515708923,0.0026176131796091795
12,0.0,0.001318334136158228,0.02976372465491295,0.8458067178726196,0.002636668272316456
13,0.0,0.0013496229657903314,0.029587220400571823,0.8405840396881104,0.0026992459315806627
14,0.0,0.0012847562320530415,0.02909415401518345,0.8334887027740479,0.002569512464106083
15,0.0,0.0012912245001643896,0.029361577704548836,0.8373948335647583,0.0025824490003287792
16,0.0,0.0013006699737161398,0.030159967020154,0.8590965270996094,0.0026013399474322796
17,0.0,0.0013042751234024763,0.02988140471279621,0.8502311706542969,0.0026085502468049526
18,0.0,0.0013852301053702831,0.02955814264714718,0.8385769128799438,0.0027704602107405663
19,0.0,0.0013088565319776535,0.02962980791926384,0.8500084280967712,0.002617713063955307
20,0.0,0.001334221800789237,0.029957545921206474,0.8501627445220947,0.002668443601578474
21,0.0,0.0012835221132263541,0.02965730056166649,0.8439391255378723,0.0025670442264527082
22,0.0,0.0013183823321014643,0.029899930581450462,0.839809775352478,0.0026367646642029285
