epoch,accuracy,loss,mae,mape,mse
0,0.0,1.1127629280090332,1.496379017829895,38.22663497924805,4.7628493309021
1,0.0,0.13862213492393494,0.3842771351337433,9.212356567382812,0.2880105972290039
2,0.0,0.042190879583358765,0.21481770277023315,5.497699737548828,0.08441796898841858
3,0.0,0.012182105332612991,0.11793208867311478,3.3043856620788574,0.024364210665225983
4,0.0,0.007654404267668724,0.09241001307964325,2.6088178157806396,0.015308907255530357
5,0.0,0.006329957861453295,0.08423851430416107,2.291311264038086,0.01265991572290659
6,0.0,0.00513233570381999,0.07279204577207565,1.9536099433898926,0.010264948010444641
7,0.0,0.004644322209060192,0.06902333348989487,1.8369184732437134,0.009288644418120384
8,0.0,0.004078248981386423,0.0635732039809227,1.6718000173568726,0.008156497962772846
9,0.0,0.004065408371388912,0.06355567276477814,1.6776297092437744,0.008130816742777824
10,0.0,0.003735993057489395,0.060299087315797806,1.555564045906067,0.00747198611497879
11,0.0,0.0032681452576071024,0.056421052664518356,1.4983617067337036,0.006536290515214205
12,0.0,0.002905080560594797,0.05303303152322769,1.411848545074463,0.005810161121189594
13,0.0,0.00267040659673512,0.050940487533807755,1.3618981838226318,0.00534081319347024
14,0.0,0.00243774289265275,0.04790058359503746,1.2838836908340454,0.0048754857853055
15,0.0,0.0022128475829958916,0.04494112357497215,1.178151249885559,0.004425695165991783
16,0.0,0.0022106010001152754,0.044982217252254486,1.19407057762146,0.004421202000230551
17,0.0,0.0020370646379888058,0.04303832724690437,1.120787262916565,0.0040741292759776115
18,0.0,0.0019765410106629133,0.04215260222554207,1.1023521423339844,0.003953082021325827
19,0.0,0.0019367837812751532,0.041243474930524826,1.084357500076294,0.0038735675625503063
20,0.0,0.0018790274625644088,0.040996916592121124,1.0664092302322388,0.0037580549251288176
21,0.0,0.0017024894477799535,0.038296304643154144,0.9989999532699585,0.003404978895559907
22,0.0,0.001765415188856423,0.0380670465528965,0.9865158200263977,0.003530830377712846
23,0.0,0.0017204891191795468,0.03813311830163002,0.9875302910804749,0.0034409782383590937
24,0.0,0.001711260643787682,0.037748031318187714,0.9754390716552734,0.003422521287575364
25,0.0,0.001613269909285009,0.035776879638433456,0.9092958569526672,0.003226539818570018
26,0.0,0.0016251032939180732,0.036568161100149155,0.9392814040184021,0.0032502065878361464
27,0.0,0.0016434836434200406,0.03653116896748543,0.9385515451431274,0.003286967286840081
28,0.0,0.0015810673357918859,0.03592668101191521,0.9255955219268799,0.0031621346715837717
29,0.0,0.0015829878393560648,0.036089155822992325,0.9327040910720825,0.0031659756787121296
30,0.0,0.0015877148834988475,0.036224719136953354,0.9286141395568848,0.003175429766997695
31,0.0,0.0015638992190361023,0.03557970002293587,0.9070426821708679,0.0031277984380722046
32,0.0,0.0016010068356990814,0.03564853593707085,0.9011061787605286,0.003202013671398163
33,0.0,0.001558623625896871,0.034494798630476,0.8651559948921204,0.003117247251793742
34,0.0,0.0015307704452425241,0.03377198800444603,0.85224848985672,0.0030615408904850483
35,0.0,0.0015620584599673748,0.035279978066682816,0.9041189551353455,0.0031241169199347496
36,0.0,0.0015192838618531823,0.03432706370949745,0.8715245127677917,0.0030385677237063646
37,0.0,0.0015003858134150505,0.03497328981757164,0.8925120234489441,0.003000771626830101
38,0.0,0.0014846117701381445,0.03410222753882408,0.8718896508216858,0.002969223540276289
39,0.0,0.0015104626072570682,0.034382306039333344,0.8755398392677307,0.0030209252145141363
40,0.0,0.0015070324297994375,0.034569866955280304,0.8742287158966064,0.003014064859598875
41,0.0,0.0015335523057729006,0.03522612899541855,0.8980078101158142,0.003067104611545801
42,0.0,0.0015033237868919969,0.033728551119565964,0.8560178279876709,0.0030066475737839937
43,0.0,0.001562335412018001,0.034958887845277786,0.8875772953033447,0.003124670824036002
44,0.0,0.0014601156581193209,0.033101946115493774,0.8296281099319458,0.0029202313162386417
45,0.0,0.0015307957073673606,0.03447984904050827,0.8674677014350891,0.003061591414734721
46,0.0,0.0015035588294267654,0.034107401967048645,0.8709707260131836,0.003007117658853531
47,0.0,0.0015512013342231512,0.0360848568379879,0.9356052279472351,0.0031024026684463024
48,0.0,0.0015075306873768568,0.03394298255443573,0.8696075677871704,0.0030150613747537136
49,0.0,0.0014948075404390693,0.03371623158454895,0.849025547504425,0.0029896150808781385
50,0.0,0.0015188280958682299,0.034785330295562744,0.8803924322128296,0.0030376561917364597
51,0.0,0.0014990696217864752,0.03401004150509834,0.8647244572639465,0.0029981392435729504
52,0.0,0.0015098786680027843,0.03370300680398941,0.854912281036377,0.0030197573360055685
53,0.0,0.0014976272359490395,0.03456830233335495,0.8773829936981201,0.002995254471898079
54,0.0,0.0014782253419980407,0.03406495228409767,0.861832320690155,0.0029564506839960814
