,Unnamed: 0,Tarih,Şimdi
211,211,29.07.2020,440.848
212,212,28.07.2020,436.711
213,213,27.07.2020,435.039
214,214,26.07.2020,421.224
215,215,24.07.2020,418.478
216,216,23.07.2020,414.894
217,217,22.07.2020,411.579
218,218,21.07.2020,404.762
219,219,20.07.2020,400.768
220,220,19.07.2020,398.832
221,221,17.07.2020,399.204
222,222,16.07.2020,396.58
223,223,15.07.2020,399.822
224,224,14.07.2020,399.417
225,225,13.07.2020,397.586
226,226,12.07.2020,397.287
227,227,10.07.2020,397.163
228,228,09.07.2020,398.07
229,229,08.07.2020,399.005
230,230,07.07.2020,395.738
231,231,06.07.2020,393.954
232,232,05.07.2020,391.829
233,233,03.07.2020,391.889
234,234,02.07.2020,391.242
235,235,01.07.2020,389.329
236,236,30.06.2020,392.809
237,237,29.06.2020,390.765
238,238,28.06.2020,390.344
239,239,26.06.2020,390.459
240,240,25.06.2020,389.191
241,241,24.06.2020,388.429
242,242,23.06.2020,389.484
243,243,22.06.2020,386.41
244,244,21.06.2020,385.287
245,245,19.06.2020,383.928
246,246,18.06.2020,379.996
247,247,17.06.2020,379.912
248,248,16.06.2020,379.525
249,249,15.06.2020,378.441
250,250,14.06.2020,379.877
251,251,12.06.2020,379.229
252,252,11.06.2020,379.727
253,253,10.06.2020,378.099
254,254,09.06.2020,374.303
255,255,08.06.2020,370.039
256,256,07.06.2020,365.807
257,257,05.06.2020,367.118
258,258,04.06.2020,371.898
259,259,03.06.2020,367.9
260,260,02.06.2020,372.36
261,261,01.06.2020,381.553
262,262,31.05.2020,381.189
263,263,29.05.2020,379.04
264,264,28.05.2020,377.346
265,265,27.05.2020,373.018
266,266,26.05.2020,370.968
267,267,25.05.2020,378.337
268,268,24.05.2020,378.988
269,269,22.05.2020,380.011
270,270,21.05.2020,376.892
271,271,20.05.2020,381.283
272,272,19.05.2020,380.911
273,273,18.05.2020,383.622
274,274,17.05.2020,389.615
275,275,15.05.2020,386.699
276,276,14.05.2020,385.914
277,277,13.05.2020,385.245
278,278,12.05.2020,382.953
279,279,11.05.2020,385.692
280,280,10.05.2020,389.422
281,281,08.05.2020,387.869
282,282,07.05.2020,391.29
283,283,06.05.2020,391.174
284,284,05.05.2020,388.141
285,285,04.05.2020,386.161
286,286,03.05.2020,383.668
287,287,01.05.2020,383.74
288,288,30.04.2020,379.43
289,289,29.04.2020,383.093
290,290,28.04.2020,383.076
291,291,27.04.2020,384.019
292,292,26.04.2020,386.503
293,293,24.04.2020,386.98
294,294,23.04.2020,386.614
295,295,22.04.2020,384.184
296,296,21.04.2020,378.573
297,297,20.04.2020,377.447
298,298,19.04.2020,372.088
299,299,17.04.2020,375.094
300,300,16.04.2020,381.891
301,301,15.04.2020,380.865
302,302,14.04.2020,378.413
303,303,13.04.2020,374.234
304,304,12.04.2020,364.675
305,305,09.04.2020,361.43
306,306,08.04.2020,358.812
307,307,07.04.2020,358.571
308,308,06.04.2020,362.22
309,309,05.04.2020,351.136
310,310,03.04.2020,350.141
311,311,02.04.2020,344.143
312,312,01.04.2020,343.381
313,313,31.03.2020,335.908
314,314,30.03.2020,341.589
315,315,29.03.2020,338.261
316,316,27.03.2020,337.217
317,317,26.03.2020,334.688
318,318,25.03.2020,332.446
319,319,24.03.2020,338.323
320,320,23.03.2020,329.885
321,321,22.03.2020,314.856
322,322,20.03.2020,315.557
323,323,19.03.2020,309.735
324,324,18.03.2020,311.937
325,325,17.03.2020,316.469
326,326,16.03.2020,311.548
327,327,15.03.2020,315.138
328,328,13.03.2020,311.42
329,329,12.03.2020,320.294
330,330,11.03.2020,328.295
331,331,10.03.2020,328.036
332,332,09.03.2020,329.898
333,333,08.03.2020,334.901
334,334,06.03.2020,328.329
335,335,05.03.2020,328.71
336,336,04.03.2020,320.046
337,337,03.03.2020,323.495
338,338,02.03.2020,315.91
339,339,01.03.2020,318.573
340,340,28.02.2020,318.226
341,341,27.02.2020,328.557
342,342,26.02.2020,325.62
343,343,25.02.2020,324.164
344,344,24.02.2020,325.291
345,345,23.02.2020,327.415
346,346,21.02.2020,322.265
347,347,20.02.2020,318.313
348,348,19.02.2020,315.022
349,349,18.02.2020,312.161
350,350,17.02.2020,308.048
351,351,16.02.2020,308.277
352,352,14.02.2020,308.493
353,353,13.02.2020,306.409
354,354,12.02.2020,305.121
355,355,11.02.2020,303.229
356,356,10.02.2020,303.626
357,357,09.02.2020,303.254
358,358,07.02.2020,303.577
359,359,06.02.2020,301.471
360,360,05.02.2020,299.297
361,361,04.02.2020,298.803
362,362,03.02.2020,303.807
363,363,02.02.2020,305.546
364,364,31.01.2020,305.612
365,365,30.01.2020,302.75
366,366,29.01.2020,302.245
367,367,28.01.2020,299.657
368,368,27.01.2020,302.134
369,369,26.01.2020,302.591
370,370,24.01.2020,300.083
371,371,23.01.2020,297.615
372,372,22.01.2020,297.299
373,373,21.01.2020,296.996
374,374,20.01.2020,296.889
375,375,19.01.2020,295.09
376,376,17.01.2020,294.737
377,377,16.01.2020,292.307
378,378,15.01.2020,294.102
379,379,14.01.2020,293.32
380,380,13.01.2020,291.424
381,381,12.01.2020,294.694
382,382,10.01.2020,295.234
383,383,09.01.2020,293.54
384,384,08.01.2020,296.072
385,385,07.01.2020,306.494
386,386,06.01.2020,300.177
387,387,05.01.2020,301.218
388,388,03.01.2020,297.96
389,389,02.01.2020,292.842
390,390,01.01.2020,290.352
391,391,31.12.2019,290.32
392,392,30.12.2019,289.774
393,393,29.12.2019,289.525
394,394,27.12.2019,289.095
395,395,26.12.2019,288.258
396,396,25.12.2019,286.302
397,397,24.12.2019,286.81
398,398,23.12.2019,284.074
399,399,22.12.2019,282.303
400,400,20.12.2019,282.251
401,401,19.12.2019,282.43
402,402,18.12.2019,281.133
403,403,17.12.2019,279.28
404,404,16.12.2019,277.488
405,405,15.12.2019,275.382
406,406,13.12.2019,275.68
407,407,12.12.2019,271.966
408,408,11.12.2019,275.126
409,409,10.12.2019,273.279
410,410,09.12.2019,272.989
411,411,08.12.2019,271.366
412,412,06.12.2019,271.347
413,413,05.12.2019,272.85
414,414,04.12.2019,272.733
415,415,03.12.2019,272.678
416,416,02.12.2019,270.049
417,417,01.12.2019,270.225
418,418,29.11.2019,270.543
419,419,28.11.2019,269.663
420,420,27.11.2019,270.77
421,421,26.11.2019,270.537
422,422,25.11.2019,268.414
423,423,24.11.2019,268.426
424,424,22.11.2019,268.573
425,425,21.11.2019,268.451
426,426,20.11.2019,270.225
427,427,19.11.2019,270.39
428,428,18.11.2019,271.26
429,429,17.11.2019,271.447
430,430,15.11.2019,271.22
431,431,14.11.2019,271.702
432,432,13.11.2019,270.898
433,433,12.11.2019,270.759
434,434,11.11.2019,270.124
435,435,10.11.2019,270.937
436,436,08.11.2019,270.559
437,437,07.11.2019,271.705
438,438,06.11.2019,275.603
439,439,05.11.2019,274.654
440,440,04.11.2019,277.817
441,441,03.11.2019,277.566
442,442,01.11.2019,278.295
443,443,31.10.2019,277.711
444,444,30.10.2019,274.174
445,445,29.10.2019,275.026
446,446,28.10.2019,274.805
447,447,27.10.2019,279.177
448,448,25.10.2019,279.357
449,449,24.10.2019,278.651
450,450,23.10.2019,275.286
451,451,22.10.2019,277.759
452,452,21.10.2019,279.609
453,453,20.10.2019,278.098
454,454,18.10.2019,277.472
455,455,17.10.2019,279.274
456,456,16.10.2019,281.907
457,457,15.10.2019,282.276
458,458,14.10.2019,284.319
459,459,13.10.2019,281.407
460,460,11.10.2019,281.608
461,461,10.10.2019,280.772
462,462,09.10.2019,285.625
463,463,08.10.2019,283.129
464,464,07.10.2019,280.185
465,465,06.10.2019,277.038
466,466,04.10.2019,275.455
467,467,03.10.2019,276.232
468,468,02.10.2019,275.102
469,469,01.10.2019,272.479
470,470,30.09.2019,267.683
471,471,29.09.2019,272.682
472,472,27.09.2019,272.992
473,473,26.09.2019,274.664
474,474,25.09.2019,274.874
475,475,24.09.2019,280.557
476,476,23.09.2019,279.626
477,477,22.09.2019,279.479
478,478,20.09.2019,279.997
479,479,19.09.2019,275.762
480,480,18.09.2019,272.425
481,481,17.09.2019,275.178
482,482,16.09.2019,275.969
483,483,15.09.2019,277.347
484,484,13.09.2019,272.207
485,485,12.09.2019,272.69
486,486,11.09.2019,276.117
487,487,10.09.2019,275.857
488,488,09.09.2019,276.393
489,489,08.09.2019,276.331
490,490,06.09.2019,276.815
491,491,05.09.2019,277.956
492,492,04.09.2019,282.998
493,493,03.09.2019,285.21
494,494,02.09.2019,284.976
495,495,01.09.2019,287.011
496,496,30.08.2019,285.284
497,497,29.08.2019,286.747
498,498,28.08.2019,288.095
499,499,27.08.2019,289.369
500,500,26.08.2019,286.424
501,501,25.08.2019,289.853
502,502,23.08.2019,282.344
