"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"23.03.2016","113,084","115,103","115,251","112,398","-1,77%"
"22.03.2016","115,123","114,516","116,608","114,479","0,54%"
"21.03.2016","114,502","115,695","115,972","114,134","-1,04%"
"20.03.2016","115,708","115,640","115,854","115,618","-0,02%"
"18.03.2016","115,726","115,176","116,055","114,530","0,48%"
"17.03.2016","115,173","116,202","116,914","114,840","-0,88%"
"16.03.2016","116,201","114,885","116,701","114,627","1,15%"
"15.03.2016","114,885","114,126","115,440","113,215","0,65%"
"14.03.2016","114,140","115,734","116,902","113,353","-1,37%"
"13.03.2016","115,723","115,757","115,930","115,561","0,28%"
"11.03.2016","115,396","118,216","119,268","115,089","-2,39%"
"10.03.2016","118,223","116,645","118,816","114,441","1,36%"
"09.03.2016","116,632","118,322","118,500","115,993","-1,42%"
"08.03.2016","118,314","118,927","120,031","117,999","-0,52%"
"07.03.2016","118,927","118,079","119,684","117,547","0,72%"
"06.03.2016","118,075","117,917","118,128","117,610","0,37%"
"04.03.2016","117,639","117,933","119,916","117,203","-0,25%"
"03.03.2016","117,934","116,734","118,636","116,279","1,04%"
"02.03.2016","116,725","116,354","117,510","115,600","0,33%"
"01.03.2016","116,340","118,201","119,001","115,872","-1,57%"
"29.02.2016","118,201","117,421","118,322","116,682","0,67%"
"28.02.2016","117,417","117,102","117,535","116,901","-0,21%"
"26.02.2016","117,661","116,175","118,239","115,521","1,28%"
"25.02.2016","116,171","115,596","117,301","115,184","0,50%"
"24.02.2016","115,590","116,413","118,716","115,285","-0,73%"
"23.02.2016","116,437","114,179","116,619","113,984","2,02%"
"22.02.2016","114,136","116,342","116,404","113,876","-1,89%"
"21.02.2016","116,338","116,404","116,409","116,132","-0,13%"
"19.02.2016","116,492","117,469","117,806","116,294","-0,82%"
"18.02.2016","117,460","114,740","118,430","114,176","2,36%"
"17.02.2016","114,748","115,195","116,120","114,186","-0,36%"
"16.02.2016","115,158","114,565","116,264","112,856","0,54%"
"15.02.2016","114,540","116,463","116,556","114,025","-1,63%"
"14.02.2016","116,443","116,393","116,479","116,211","-0,09%"
"12.02.2016","116,543","116,978","117,699","115,975","-0,41%"
"11.02.2016","117,017","112,553","118,922","112,550","3,94%"
"10.02.2016","112,577","112,438","112,973","110,949","0,13%"
"09.02.2016","112,433","112,848","113,836","111,986","-0,37%"
"08.02.2016","112,848","109,312","113,766","109,162","3,23%"
"07.02.2016","109,315","109,904","109,962","109,315","-0,66%"
"05.02.2016","110,042","108,262","110,263","107,393","1,64%"
"04.02.2016","108,262","107,051","108,444","106,555","1,14%"
"03.02.2016","107,041","107,095","107,818","106,196","-0,05%"
"02.02.2016","107,092","106,928","107,440","106,609","0,15%"
"01.02.2016","106,935","106,215","107,670","106,141","0,66%"
"31.01.2016","106,233","106,124","106,271","106,064","0,05%"
"29.01.2016","106,182","106,452","106,734","105,678","-0,25%"
"28.01.2016","106,452","108,570","108,572","106,163","-1,95%"
"27.01.2016","108,574","108,292","108,920","107,295","0,26%"
"26.01.2016","108,289","107,718","109,004","107,437","0,52%"
"25.01.2016","107,730","106,095","107,759","106,056","1,55%"
"24.01.2016","106,090","105,965","106,090","105,965","0,17%"
"22.01.2016","105,915","106,820","107,019","105,719","-0,84%"
"21.01.2016","106,813","107,494","108,419","106,193","-0,67%"
"20.01.2016","107,529","106,274","109,058","106,274","1,19%"
"19.01.2016","106,269","106,287","106,638","105,417","-0,02%"
"18.01.2016","106,289","106,892","107,133","106,101","-0,57%"
"17.01.2016","106,897","106,999","107,017","106,750","0,16%"
"15.01.2016","106,721","104,781","107,370","104,699","1,84%"
"14.01.2016","104,794","106,631","106,867","104,260","-1,73%"
"13.01.2016","106,638","105,995","106,657","104,516","0,60%"
"12.01.2016","105,999","107,052","107,508","105,429","-0,96%"
"11.01.2016","107,027","108,074","108,264","106,576","-0,97%"
"10.01.2016","108,073","108,206","108,390","107,926","0,75%"
"08.01.2016","107,265","107,050","107,360","105,199","0,20%"
"07.01.2016","107,053","105,524","107,279","105,370","1,45%"
"06.01.2016","105,519","103,504","105,841","103,302","1,95%"
"05.01.2016","103,504","102,321","103,904","102,302","1,15%"
"04.01.2016","102,323","99,833","103,306","99,790","2,48%"
"03.01.2016","99,844","99,980","100,099","99,727","0,42%"
"31.12.2015","99,428","99,780","101,267","99,232","-0,35%"
"30.12.2015","99,774","99,939","100,357","99,280","-0,17%"
"29.12.2015","99,940","99,814","100,660","99,767","0,12%"
"28.12.2015","99,823","100,876","101,127","99,678","-1,04%"
"27.12.2015","100,874","100,870","101,046","100,863","-0,16%"
"24.12.2015","101,039","100,641","101,122","100,555","0,40%"
"23.12.2015","100,640","101,182","101,505","100,254","-0,53%"
"22.12.2015","101,179","100,896","102,436","100,733","0,28%"
"21.12.2015","100,897","99,734","101,407","99,602","1,17%"
"20.12.2015","99,728","99,790","99,929","99,652","0,07%"
"18.12.2015","99,663","99,112","100,242","98,876","0,56%"
"17.12.2015","99,112","101,017","101,357","98,536","-1,87%"
"16.12.2015","101,001","101,150","102,610","100,727","-0,15%"
"15.12.2015","101,149","101,901","102,384","100,790","-0,76%"
"14.12.2015","101,921","102,382","103,237","101,195","-0,44%"
"13.12.2015","102,368","102,282","102,555","102,151","-0,68%"
"11.12.2015","103,070","100,827","103,380","100,260","2,22%"
"10.12.2015","100,833","100,437","101,006","100,265","0,40%"
"09.12.2015","100,436","100,710","101,730","100,194","-0,27%"
"08.12.2015","100,711","100,303","101,192","99,980","0,41%"
"07.12.2015","100,301","100,738","101,090","99,826","-0,41%"
"06.12.2015","100,710","100,826","100,919","100,662","-0,38%"
"04.12.2015","101,090","98,596","101,205","98,036","2,55%"
"03.12.2015","98,573","97,905","98,819","97,240","0,69%"
"02.12.2015","97,900","99,416","99,510","97,792","-1,52%"
"01.12.2015","99,416","99,643","100,429","98,663","-0,23%"
"30.11.2015","99,642","99,513","100,226","98,734","0,13%"
"29.11.2015","99,515","99,461","99,626","99,392","-0,04%"
"27.11.2015","99,555","100,952","101,170","98,750","-1,39%"
"26.11.2015","100,956","99,406","100,995","99,317","1,55%"
"25.11.2015","99,411","99,443","100,163","98,982","-0,03%"
"24.11.2015","99,442","98,099","100,060","97,901","1,42%"
"23.11.2015","98,054","97,952","98,333","97,497","0,11%"
"22.11.2015","97,943","98,025","98,035","97,735","-0,09%"
"20.11.2015","98,035","98,929","99,389","97,870","-0,92%"
"19.11.2015","98,948","98,600","99,323","97,981","0,36%"
"18.11.2015","98,594","98,668","99,240","98,218","-0,07%"
"17.11.2015","98,668","100,444","100,664","98,373","-1,81%"
"16.11.2015","100,484","100,797","101,700","100,244","-0,30%"
"15.11.2015","100,786","100,519","100,852","100,281","0,98%"
"13.11.2015","99,810","99,854","100,501","99,399","-0,04%"
"12.11.2015","99,845","100,421","100,918","99,371","-0,59%"
"11.11.2015","100,438","102,169","102,391","100,200","-1,69%"
"10.11.2015","102,167","102,628","102,791","101,692","-0,45%"
"09.11.2015","102,624","102,456","103,051","102,063","0,16%"
"08.11.2015","102,459","102,384","102,585","102,338","0,38%"
"06.11.2015","102,069","101,747","102,750","101,588","0,31%"
"05.11.2015","101,755","102,205","102,636","101,519","-0,44%"
"04.11.2015","102,205","101,889","102,740","101,775","0,31%"
"03.11.2015","101,892","102,918","103,803","101,363","-1,01%"
"02.11.2015","102,933","104,435","104,872","101,341","-1,45%"
"01.11.2015","104,443","104,454","104,548","103,879","-2,43%"
"30.10.2015","107,048","108,347","108,547","106,640","-1,20%"
"29.10.2015","108,348","108,822","109,337","108,209","-0,43%"
"28.10.2015","108,819","108,959","109,990","108,510","-0,14%"
"27.10.2015","108,969","108,166","109,360","108,002","0,76%"
"26.10.2015","108,151","108,667","108,773","107,970","-0,66%"
"23.10.2015","108,871","107,686","109,143","107,425","1,10%"
"22.10.2015","107,687","108,552","108,814","107,404","-0,80%"
"21.10.2015","108,556","109,808","110,117","108,447","-1,14%"
"20.10.2015","109,805","109,218","109,912","108,822","0,54%"
"19.10.2015","109,218","109,666","109,857","108,448","-0,41%"
"18.10.2015","109,667","109,543","109,679","109,292","0,15%"
"16.10.2015","109,505","109,554","110,487","109,144","-0,05%"
"15.10.2015","109,559","110,993","111,114","109,382","-1,29%"
"14.10.2015","110,992","111,191","111,909","109,821","-0,17%"
"13.10.2015","111,184","109,410","111,286","108,812","1,62%"
"12.10.2015","109,412","109,054","110,213","108,953","0,32%"
"11.10.2015","109,059","109,851","110,130","109,030","0,73%"
"09.10.2015","108,264","106,132","108,757","106,019","2,00%"
"08.10.2015","106,143","108,258","108,488","105,974","-1,95%"
"07.10.2015","108,259","109,045","109,667","107,092","-0,73%"
"06.10.2015","109,055","108,931","110,416","108,862","0,12%"
"05.10.2015","108,929","109,597","110,022","108,694","-0,60%"
"04.10.2015","109,586","109,527","109,785","109,477","0,10%"
"02.10.2015","109,476","108,406","110,832","107,614","0,99%"
"01.10.2015","108,408","108,477","108,745","107,628","-0,07%"
"30.09.2015","108,484","110,015","110,264","108,276","-1,40%"
"29.09.2015","110,022","111,296","111,798","109,942","-1,13%"
"28.09.2015","111,285","112,420","112,569","110,733","-1,02%"
"27.09.2015","112,427","111,822","112,428","111,743","0,15%"
"25.09.2015","112,256","112,715","112,959","111,109","-0,42%"
"24.09.2015","112,724","110,662","113,828","110,476","1,86%"
"23.09.2015","110,662","109,452","110,940","109,263","1,11%"
"22.09.2015","109,448","109,394","110,249","108,947","0,05%"
"21.09.2015","109,396","109,954","110,763","108,550","-0,49%"
"20.09.2015","109,940","110,255","110,303","109,788","-0,10%"
"18.09.2015","110,049","109,390","110,383","108,689","0,60%"
"17.09.2015","109,390","108,002","109,858","107,475","1,28%"
"16.09.2015","108,003","107,718","108,276","106,811","0,27%"
"15.09.2015","107,715","109,079","109,383","107,408","-1,25%"
"14.09.2015","109,077","108,063","109,343","107,994","0,93%"
"13.09.2015","108,072","108,736","108,744","108,063","-0,39%"
"11.09.2015","108,491","107,930","108,645","107,494","0,52%"
"10.09.2015","107,930","108,557","109,010","107,689","-0,58%"
"09.09.2015","108,556","108,722","108,899","107,348","-0,15%"
"08.09.2015","108,724","109,255","109,345","108,263","-0,48%"
"07.09.2015","109,251","109,513","109,922","108,791","-0,24%"
"06.09.2015","109,509","109,141","109,976","109,107","0,94%"
"04.09.2015","108,487","107,589","108,789","107,237","0,84%"
"03.09.2015","107,586","107,211","107,983","106,916","0,35%"
"02.09.2015","107,210","107,433","108,343","106,930","-0,20%"
"01.09.2015","107,428","106,422","107,754","106,395","0,93%"
"31.08.2015","106,440","106,293","106,905","105,473","0,14%"
"30.08.2015","106,294","106,360","106,434","106,128","-0,25%"
"28.08.2015","106,556","105,470","107,018","105,154","1,03%"
"27.08.2015","105,465","105,879","106,388","104,595","-0,40%"
"26.08.2015","105,891","108,469","108,555","105,654","-2,37%"
"25.08.2015","108,457","109,384","109,502","106,520","-0,83%"
"24.08.2015","109,370","110,495","111,655","108,282","-1,02%"
"23.08.2015","110,496","109,153","110,624","109,149","1,50%"
"21.08.2015","108,862","108,426","110,022","107,521","0,38%"
"20.08.2015","108,452","106,709","109,950","106,677","1,63%"
"19.08.2015","106,710","104,012","106,775","103,790","2,58%"
"18.08.2015","104,031","103,016","104,499","103,016","0,99%"
"17.08.2015","103,016","101,571","103,211","101,528","1,42%"
"16.08.2015","101,571","101,526","101,744","101,419","-0,07%"
"14.08.2015","101,641","101,193","102,279","101,064","0,44%"
"13.08.2015","101,197","100,397","101,660","99,962","0,80%"
"12.08.2015","100,397","99,083","100,510","98,540","1,33%"
"11.08.2015","99,083","98,417","99,537","97,882","0,68%"
"10.08.2015","98,417","97,647","99,344","97,446","0,78%"
"09.08.2015","97,654","97,726","97,773","97,591","-0,10%"
"07.08.2015","97,754","97,248","98,341","97,063","0,52%"
"06.08.2015","97,249","97,218","97,787","97,034","0,03%"
"05.08.2015","97,218","97,084","97,686","96,989","0,13%"
"04.08.2015","97,087","96,887","97,592","96,627","0,22%"
"03.08.2015","96,875","97,316","97,816","96,832","-0,44%"
"02.08.2015","97,305","97,463","97,539","97,254","-0,31%"
"31.07.2015","97,604","97,552","97,873","96,527","0,05%"
"30.07.2015","97,555","97,636","98,210","96,492","-0,08%"
"29.07.2015","97,634","97,226","97,946","96,767","0,42%"
"28.07.2015","97,226","97,395","97,775","96,453","-0,17%"
"27.07.2015","97,390","96,928","98,092","96,560","0,47%"
"26.07.2015","96,937","96,749","96,980","96,503","0,22%"
"24.07.2015","96,726","95,935","96,984","94,713","0,82%"
"23.07.2015","95,938","95,298","96,874","95,240","0,67%"
"22.07.2015","95,302","94,896","95,756","94,250","0,41%"
"21.07.2015","94,913","95,254","95,932","94,803","-0,37%"
"20.07.2015","95,261","96,755","96,819","92,863","-1,54%"
"19.07.2015","96,753","96,804","96,849","96,526","0,03%"
"17.07.2015","96,725","97,820","97,883","96,380","-1,12%"
"16.07.2015","97,825","97,733","97,911","97,504","0,09%"
"15.07.2015","97,738","97,863","98,177","97,303","-0,13%"
"14.07.2015","97,863","98,461","98,578","97,497","-0,62%"
"13.07.2015","98,474","99,848","99,989","98,164","-1,38%"
"12.07.2015","99,854","99,989","100,099","99,684","0,13%"
"10.07.2015","99,723","99,636","99,962","99,226","0,09%"
"09.07.2015","99,638","99,899","100,480","99,544","-0,28%"
"08.07.2015","99,918","99,756","100,620","99,473","0,16%"
"07.07.2015","99,762","100,803","100,857","99,469","-1,04%"
"06.07.2015","100,809","102,468","102,551","100,310","-1,61%"
"05.07.2015","102,459","102,462","102,562","102,291","1,24%"
"03.07.2015","101,202","100,693","101,287","100,641","0,52%"
"02.07.2015","100,681","101,138","101,354","100,333","-0,46%"
"01.07.2015","101,146","101,155","101,506","100,718","0,01%"
"30.06.2015","101,136","102,592","102,782","100,492","-1,42%"
"29.06.2015","102,592","102,961","103,123","101,527","-0,39%"
"28.06.2015","102,990","103,208","103,585","102,518","2,24%"
"26.06.2015","100,731","100,264","100,891","100,194","0,47%"
"25.06.2015","100,257","101,229","101,421","100,002","-0,97%"
"24.06.2015","101,234","101,474","101,895","100,801","-0,23%"
"23.06.2015","101,470","101,701","102,115","101,342","-0,25%"
"22.06.2015","101,723","103,894","104,050","101,295","-2,09%"
"21.06.2015","103,894","103,913","103,993","103,660","-0,09%"
"19.06.2015","103,985","104,821","105,100","103,877","-0,80%"
"18.06.2015","104,823","103,354","105,161","103,219","1,44%"
"17.06.2015","103,337","103,914","104,064","103,083","-0,56%"
"16.06.2015","103,923","104,338","104,909","103,170","-0,40%"
"15.06.2015","104,341","103,458","104,865","103,114","0,85%"
"14.06.2015","103,462","103,160","103,719","103,160","0,37%"
"12.06.2015","103,081","102,719","103,520","102,700","0,34%"
"11.06.2015","102,728","104,291","104,723","102,389","-1,50%"
"10.06.2015","104,297","104,186","105,062","103,870","0,10%"
"09.06.2015","104,188","103,825","104,586","103,666","0,36%"
"08.06.2015","103,815","103,775","105,949","103,448","0,05%"
"07.06.2015","103,759","103,613","103,759","103,049","3,48%"
"05.06.2015","100,269","101,118","101,365","99,845","-0,84%"
"04.06.2015","101,118","102,391","103,091","100,482","-1,24%"
"03.06.2015","102,391","102,595","102,939","101,764","-0,20%"
"02.06.2015","102,595","102,574","102,890","102,090","0,03%"
"01.06.2015","102,566","101,944","103,539","101,793","0,61%"
"31.05.2015","101,944","101,946","102,434","101,855","-0,01%"
"29.05.2015","101,953","101,558","102,089","101,338","0,39%"
"28.05.2015","101,558","100,890","101,872","100,839","0,66%"
"27.05.2015","100,893","100,851","101,654","100,703","0,04%"
"26.05.2015","100,851","101,521","101,536","100,484","-0,67%"
"25.05.2015","101,534","100,706","101,672","100,625","0,82%"
"24.05.2015","100,707","100,696","100,736","100,547","-0,10%"
"22.05.2015","100,803","100,512","101,645","100,313","0,30%"
"21.05.2015","100,504","100,360","100,708","99,472","0,14%"
"20.05.2015","100,359","100,944","101,312","100,068","-0,58%"
"19.05.2015","100,942","101,668","101,767","100,588","-0,71%"
"18.05.2015","101,665","101,426","102,272","101,247","0,24%"
"17.05.2015","101,417","101,418","101,520","101,374","-0,01%"
"15.05.2015","101,428","101,785","102,029","100,697","-0,36%"
"14.05.2015","101,793","102,667","102,890","101,470","-0,85%"
"13.05.2015","102,666","102,042","103,164","101,623","0,61%"
"12.05.2015","102,047","102,512","103,613","101,992","-0,45%"
"11.05.2015","102,513","102,971","103,375","102,053","-0,47%"
"10.05.2015","102,999","102,927","103,086","102,583","0,12%"
"08.05.2015","102,880","102,415","103,556","102,160","0,47%"
"07.05.2015","102,396","103,123","103,445","101,757","-0,72%"
"06.05.2015","103,140","104,032","104,091","102,847","-0,87%"
"05.05.2015","104,040","103,728","104,668","103,365","0,30%"
"04.05.2015","103,728","102,794","103,926","102,621","0,91%"
"03.05.2015","102,794","102,584","102,815","102,519","0,22%"
"01.05.2015","102,571","101,896","102,596","100,566","0,67%"
"30.04.2015","101,891","103,041","103,374","101,230","-1,10%"
"29.04.2015","103,024","103,593","103,896","102,683","-0,53%"
"28.04.2015","103,568","103,345","103,995","102,868","0,22%"
"27.04.2015","103,344","103,221","104,224","102,947","0,12%"
"26.04.2015","103,223","103,052","103,253","102,994","-0,53%"
"24.04.2015","103,771","103,771","103,771","103,771","0,00%"
"23.04.2015","103,771","103,771","103,771","103,771","0,00%"
"22.04.2015","103,771","103,771","103,771","103,771","0,00%"
"21.04.2015","103,771","103,718","104,296","103,497","0,05%"
"20.04.2015","103,718","104,008","104,569","103,393","-0,29%"
"19.04.2015","104,019","103,735","104,068","103,735","0,27%"
"17.04.2015","103,735","103,406","104,515","103,197","0,31%"
"16.04.2015","103,411","104,518","105,178","103,060","-1,06%"
"15.04.2015","104,520","103,164","104,992","102,906","1,30%"
"14.04.2015","103,174","102,911","103,364","101,934","0,25%"
"13.04.2015","102,912","102,077","103,094","101,810","0,82%"
"12.04.2015","102,078","102,062","102,109","101,915","0,02%"
"10.04.2015","102,062","100,641","102,348","100,468","1,40%"
"09.04.2015","100,649","100,382","100,762","99,712","0,25%"
"08.04.2015","100,396","101,126","101,330","99,824","-0,72%"
"07.04.2015","101,126","100,449","101,453","100,127","0,67%"
"06.04.2015","100,457","100,513","101,086","100,212","-0,05%"
"05.04.2015","100,510","100,403","100,681","100,305","0,59%"
"02.04.2015","99,925","100,602","100,753","99,517","-0,67%"
"01.04.2015","100,599","98,910","100,895","98,676","1,72%"
"31.03.2015","98,896","99,386","99,930","98,672","-0,49%"
"30.03.2015","99,382","100,593","100,670","98,959","-1,22%"
"29.03.2015","100,605","100,654","100,656","100,393","-0,04%"
"27.03.2015","100,642","100,790","101,294","99,728","-0,15%"
"26.03.2015","100,798","99,401","102,145","99,371","1,41%"
"25.03.2015","99,400","97,989","99,760","97,636","1,45%"
"24.03.2015","97,981","97,244","98,415","96,955","0,76%"
"23.03.2015","97,244","98,405","98,457","97,035","-1,17%"
"22.03.2015","98,400","97,874","98,400","97,834","0,54%"
"20.03.2015","97,874","98,123","98,388","97,427","-0,25%"
"19.03.2015","98,115","96,935","98,438","96,935","1,22%"
"18.03.2015","96,935","96,635","97,091","96,291","0,32%"
"17.03.2015","96,630","97,576","97,849","96,002","-0,99%"
"16.03.2015","97,592","98,119","98,366","97,110","-0,54%"
"15.03.2015","98,123","98,321","98,351","97,826","-0,17%"
"13.03.2015","98,288","96,027","98,708","95,998","2,36%"
"12.03.2015","96,018","97,096","97,521","95,763","-1,09%"
"11.03.2015","97,081","98,670","98,991","96,364","-1,61%"
"10.03.2015","98,667","97,666","99,373","97,055","1,02%"
"09.03.2015","97,675","98,721","99,072","97,519","-1,06%"
"08.03.2015","98,726","98,317","98,979","98,290","0,19%"
"06.03.2015","98,534","100,624","100,916","97,911","-2,08%"
"05.03.2015","100,624","99,141","101,494","99,019","1,49%"
"04.03.2015","99,142","98,193","99,340","98,159","0,96%"
"03.03.2015","98,203","97,874","98,781","96,901","0,34%"
"02.03.2015","97,871","97,872","98,839","97,509","-0,00%"
"01.03.2015","97,872","97,851","97,964","97,708","0,05%"
"27.02.2015","97,824","97,506","98,558","96,777","0,33%"
"26.02.2015","97,506","96,437","97,590","96,253","1,10%"
"25.02.2015","96,441","95,472","96,549","95,387","1,01%"
"24.02.2015","95,472","95,715","95,824","94,782","-0,26%"
"23.02.2015","95,719","94,986","96,282","94,857","0,76%"
"22.02.2015","94,993","95,104","95,141","94,866","0,11%"
"20.02.2015","94,891","95,436","96,274","94,476","-0,58%"
"19.02.2015","95,440","95,352","96,467","94,956","0,08%"
"18.02.2015","95,364","95,398","95,962","94,543","-0,04%"
"17.02.2015","95,406","97,259","97,499","94,818","-1,95%"
"16.02.2015","97,303","97,102","97,758","96,785","0,20%"
"15.02.2015","97,106","97,051","97,127","96,991","-0,02%"
"13.02.2015","97,121","97,116","97,937","96,988","0,00%"
"12.02.2015","97,121","98,086","98,838","96,733","-0,98%"
"11.02.2015","98,087","99,009","99,466","97,856","-0,93%"
"10.02.2015","99,009","98,625","99,638","98,546","0,41%"
"09.02.2015","98,608","98,425","99,656","98,199","0,19%"
"08.02.2015","98,420","98,384","98,486","98,213","0,28%"
"06.02.2015","98,146","99,180","99,661","97,619","-1,05%"
"05.02.2015","99,187","100,662","100,947","98,573","-1,48%"
"04.02.2015","100,677","97,458","100,910","97,049","3,31%"
"03.02.2015","97,454","99,664","100,746","96,817","-2,22%"
"02.02.2015","99,662","100,629","100,782","98,803","-0,96%"
"01.02.2015","100,630","100,730","100,821","100,547","-0,13%"
"30.01.2015","100,761","97,982","101,050","97,479","2,84%"
"29.01.2015","97,974","98,663","99,103","97,150","-0,70%"
"28.01.2015","98,668","98,350","98,874","97,477","0,33%"
"27.01.2015","98,348","96,997","98,511","96,346","1,40%"
"26.01.2015","96,990","98,577","98,739","96,434","-1,62%"
"25.01.2015","98,588","98,314","98,660","97,923","0,82%"
"23.01.2015","97,787","97,338","98,273","96,581","0,46%"
"22.01.2015","97,341","97,590","98,160","96,361","-0,29%"
"21.01.2015","97,625","97,537","98,307","96,577","0,09%"
"20.01.2015","97,534","95,723","98,235","95,632","1,89%"
"19.01.2015","95,723","95,928","96,433","95,478","-0,20%"
"18.01.2015","95,916","95,585","95,916","95,560","0,10%"
"16.01.2015","95,819","93,661","96,261","93,106","2,26%"
"15.01.2015","93,699","90,343","94,630","89,736","3,71%"
"14.01.2015","90,347","90,537","91,408","90,075","-0,21%"
"13.01.2015","90,537","90,471","91,219","90,119","0,06%"
"12.01.2015","90,479","90,424","90,801","89,629","0,06%"
"11.01.2015","90,429","90,287","90,469","90,212","0,20%"
"09.01.2015","90,245","89,320","90,294","89,159","1,03%"
"08.01.2015","89,329","90,397","90,597","89,175","-1,18%"
"07.01.2015","90,400","90,958","91,200","90,236","-0,58%"
"06.01.2015","90,931","90,204","91,342","89,831","0,80%"
"05.01.2015","90,208","89,241","90,551","89,200","1,11%"
"04.01.2015","89,222","89,461","89,463","88,673","-0,42%"
"02.01.2015","89,601","89,038","89,991","88,281","0,65%"
"01.01.2015","89,020","88,858","89,090","88,837","0,28%"
"31.12.2014","88,769","89,747","90,012","88,647","-1,09%"
"30.12.2014","89,751","88,095","90,366","88,024","1,89%"
"29.12.2014","88,085","89,069","89,474","87,839","-1,12%"
"28.12.2014","89,084","89,146","89,305","89,080","-0,05%"
"26.12.2014","89,128","87,762","89,502","87,751","1,54%"
"25.12.2014","87,774","87,779","87,932","87,743","0,31%"
"24.12.2014","87,500","87,948","88,212","87,361","-0,52%"
"23.12.2014","87,956","87,372","88,219","87,298","0,68%"
"22.12.2014","87,361","88,959","89,561","87,188","-1,80%"
"21.12.2014","88,959","88,849","88,970","88,825","0,05%"
"19.12.2014","88,918","89,422","89,903","88,761","-0,57%"
"18.12.2014","89,429","89,461","90,795","88,859","-0,04%"
"17.12.2014","89,468","90,997","91,632","88,639","-1,68%"
"16.12.2014","90,997","90,795","94,362","90,186","0,23%"
"15.12.2014","90,787","90,523","93,527","89,778","0,29%"
"14.12.2014","90,527","90,575","90,575","90,430","0,18%"
"12.12.2014","90,363","89,911","90,757","89,145","0,51%"
"11.12.2014","89,903","89,561","90,221","88,579","0,38%"
"10.12.2014","89,561","89,566","90,136","89,056","-0,00%"
"09.12.2014","89,563","87,734","89,984","87,497","2,06%"
"08.12.2014","87,759","86,405","88,167","86,343","1,54%"
"07.12.2014","86,432","86,479","86,507","86,267","-0,30%"
"05.12.2014","86,694","86,545","87,014","85,741","0,17%"
"04.12.2014","86,550","87,032","87,162","86,443","-0,53%"
"03.12.2014","87,015","85,920","87,470","85,705","1,26%"
"02.12.2014","85,930","85,891","86,316","85,051","0,06%"
"01.12.2014","85,880","82,223","86,903","81,971","4,42%"
"30.11.2014","82,245","82,839","82,865","81,646","-1,33%"
"28.11.2014","83,353","84,407","84,521","83,242","-1,26%"
"27.11.2014","84,413","85,126","85,368","84,315","-0,83%"
"26.11.2014","85,119","85,732","85,824","85,035","-0,71%"
"25.11.2014","85,727","85,855","86,303","85,238","-0,13%"
"24.11.2014","85,837","85,869","86,038","85,355","-0,03%"
"23.11.2014","85,862","85,850","86,068","85,846","0,03%"
"21.11.2014","85,833","85,217","86,227","84,968","0,72%"
"20.11.2014","85,217","84,889","86,046","84,563","0,38%"
"19.11.2014","84,897","85,348","86,303","84,611","-0,53%"
"18.11.2014","85,348","85,111","86,110","84,893","0,28%"
"17.11.2014","85,110","84,785","85,633","84,624","0,36%"
"16.11.2014","84,802","84,976","85,104","84,802","-0,50%"
"14.11.2014","85,230","83,703","85,658","82,854","1,82%"
"13.11.2014","83,710","83,895","84,655","83,472","-0,21%"
"12.11.2014","83,887","84,298","84,957","83,794","-0,50%"
"11.11.2014","84,306","83,931","85,122","83,308","0,45%"
"10.11.2014","83,926","84,962","85,238","83,368","-1,23%"
"09.11.2014","84,967","85,347","85,424","84,925","-0,57%"
"07.11.2014","85,454","83,115","85,564","82,447","2,81%"
"06.11.2014","83,117","82,551","83,397","82,213","0,69%"
"05.11.2014","82,550","83,518","83,549","81,859","-1,15%"
"04.11.2014","83,513","83,718","84,008","83,253","-0,25%"
"03.11.2014","83,721","83,544","84,289","83,283","0,21%"
"02.11.2014","83,544","83,881","83,890","83,358","-0,32%"
"31.10.2014","83,814","84,865","85,082","82,791","-1,24%"
"30.10.2014","84,863","86,386","86,630","84,648","-1,76%"
"29.10.2014","86,385","87,225","87,323","86,045","-0,95%"
"28.10.2014","87,214","87,918","88,394","87,019","-0,81%"
"27.10.2014","87,927","88,145","88,726","87,839","-0,25%"
"26.10.2014","88,149","88,295","88,336","88,073","-0,17%"
"24.10.2014","88,301","88,523","88,971","88,208","-0,26%"
"23.10.2014","88,533","89,753","89,938","88,256","-1,36%"
"22.10.2014","89,752","90,113","90,206","89,615","-0,40%"
"21.10.2014","90,110","89,868","90,410","89,751","0,28%"
"20.10.2014","89,861","89,180","90,233","89,180","0,76%"
"19.10.2014","89,181","89,425","89,550","89,181","-0,25%"
"17.10.2014","89,405","90,077","90,421","89,038","-0,74%"
"16.10.2014","90,075","90,565","91,304","89,970","-0,53%"
"15.10.2014","90,558","89,869","91,576","89,204","0,77%"
"14.10.2014","89,869","90,223","90,685","89,808","-0,39%"
"13.10.2014","90,223","90,461","90,661","89,444","-0,26%"
"12.10.2014","90,456","89,962","90,563","89,962","0,49%"
"10.10.2014","90,013","89,328","90,038","89,069","0,76%"
"09.10.2014","89,330","88,762","89,559","88,687","0,66%"
"08.10.2014","88,740","88,532","89,900","88,448","0,26%"
"07.10.2014","88,512","88,003","88,664","87,906","0,58%"
"06.10.2014","88,001","87,497","88,302","87,261","0,58%"
"05.10.2014","87,493","87,777","87,777","87,210","-0,43%"
"03.10.2014","87,874","88,467","88,858","87,796","-0,69%"
"02.10.2014","88,483","89,230","89,581","88,267","-0,85%"
